system:index,AOD_550,City,Month,.geo
1_00000000000000000017,536.5925230046554,Talcher,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000018,366.037935967212,Thiruvananthapuram,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000019,452.7986220499174,Visakhapatnam,2015-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,472.1795816178838,Ahmedabad,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,258.5032670711347,Aizawl,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,539.8838056826069,Amaravati,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,370.24021712898406,Amritsar,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,536.1042678209154,Bengaluru,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,394.0002317555204,Bhopal,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,625.0827330530433,Brajrajnagar,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,274.6943125790406,Chandigarh,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,487.15874369054586,Chennai,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,608.5951778242217,Coimbatore,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,331.21360892218456,Delhi,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,627.5407373790202,Ernakulam,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,334.2449495973725,Gurugram,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,607.7363706727474,Guwahati,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000e,565.7398268722347,Hyderabad,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000f,469.29779568739167,Jaipur,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000010,478.3420914852961,Jorapokhar,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000011,619.9161994518632,Kochi,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000012,539.8103116507178,Kolkata,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000013,431.1327031293276,Lucknow,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000014,562.7463695789517,Mumbai,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000015,432.9531929955683,Patna,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000016,252.36921088193074,Shillong,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000017,719.78559162008,Talcher,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000018,522.423923619245,Thiruvananthapuram,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000019,685.6989336580915,Visakhapatnam,2015-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,797.2638488351819,Ahmedabad,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,511.13855241909704,Aizawl,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,432.0791672845312,Amaravati,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,609.2684851526276,Amritsar,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,604.926259392646,Bengaluru,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,587.7849982620774,Bhopal,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000006,672.1612153216648,Brajrajnagar,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000007,434.912780814089,Chandigarh,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000008,443.1776659470308,Chennai,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000009,652.5282135392114,Coimbatore,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000a,441.2886328787801,Delhi,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000b,555.103226609441,Ernakulam,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000c,468.16068459031436,Gurugram,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000d,481.32026562595325,Guwahati,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000e,618.3796979880033,Hyderabad,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0000000000000000000f,593.1196145659131,Jaipur,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000010,642.9072615081678,Jorapokhar,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000011,522.9251770857712,Kochi,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000012,749.3436778679903,Kolkata,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000013,575.2886625586525,Lucknow,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000014,675.2911136569924,Mumbai,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000015,540.1216617158071,Patna,2015-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
